44.3	18	12.2	16.5	3.1	96	8.6	3.1	100	3.9	5.9	3.1	4.7	3.1	3.9	3.9	96.8	34.5	22.7	2		0
5.5	4.7	2.4	6.3	9	4.7	5.9	11.8	6.7	17.6	4.7	62.3	95.7	78	27.1	47.4	28.6	17.6	17.6	5.1		1
5.1	2.4	30.6	11.8	2	3.1	3.1	3.1	2.4	3.5	31.8	34.1	33.7	9	19.2	24.7	18.4	25.5	2.4	3.5		2
2.4	11.4	68.2	38	3.9	2.8	3.9	3.1	5.9	8.2	7.8	62.7	81.2	100	87.4	56.4	54.5	27.1	5.1	6.3		3
3.1	4.7	3.9	5.1	6.3	8.2	14.5	78.8	5.5	6.3	99.2	67	100	100	65.1	68.6	11.4	3.1	3.1	11		4
2	2	2.4	7.1	18	98.4	12.5	9.4	97.7	68.6	83.1	100	27.4	93.3	100	57.6	98.4	4.3	4.7	0.8		5
3.5	4.3	5.5	14.9	96.9	100	21.2	100	73.3	87.4	100	85.8	66.6	40.4	27.4	12.5	5.9	42.7	100	59.6		6
5.9	60.4	63.9	96.1	100	93.7	43.1	6.7	10.2	5.5	10.6	7.8	5.9	17.6	32.5	99.9	70.1	41.5	81.9	8.6		7
100	19.6	32.1	31.4	53.7	11	5.1	4.3	3.1	4.3	5.5	47.8	9.4	49	68.2	41.9	47.8	31	22.7	22.3		8
14.9	6.7	3.1	3.5	4.7	3.9	38	18.8	3.1	93.3	15.3	10.6	34.5	32.5	12.2	29	8.6	99.9	37.6	5.9		9


48.6	20.4	12.9	16.5	2.8	99.2	7.1	5.1	100	3.9	11	4.7	9	3.9	3.1	4.7	99.2	32.1	23.5	2.4		0
7.4	5.9	4.3	7.5	8.2	3.9	3.9	11.8	5.5	10.2	3.9	42.7	95.3	78.4	21.2	44.7	40.7	16.5	27.8	16.5		1
5.1	2.8	25.1	10.6	2	3.1	3.1	2.4	3.1	3.5	34.5	32.1	33.7	9.4	22.8	31.3	26.6	43.9	2.4	12.2		2
3.1	11.8	88.2	7.1	3.9	3.1	4.7	4.3	7.1	7.8	10.2	80.4	75.7	95.3	89.3	56.4	41.1	36.5	4.7	6.7		3
3.5	3.1	5.1	4.3	6.7	7.1	13.7	78.4	6.3	6.7	96.4	71.7	100	100	68.6	73.3	11.4	3.5	1.2	12.1		4
2	3.1	4.3	9	19.2	98.4	90.2	10.6	98	67	79.2	98.4	23.9	95.6	100	61.5	95.3	4.3	5.9	2.8		5
3.5	4.7	7.8	17.2	98.4	100	20.4	100	72.5	76.9	100	87.4	67.8	42.3	26.6	11.8	8.2	39.6	100	60		6
8.6	61.5	60.3	93.4	100	91.7	14.9	100	50.6	11.8	12.2	9.4	7.1	21.2	34.1	100	67.8	44.7	81.5	9.8		7
98.8	19.6	22.3	37.2	49.4	12.1	7.8	9	7.1	42	4.7	54.5	10.6	49	65.9	42.7	48.6	29	25.1	23.9		8
21.2	35.7	15.7	4.7	6.3	13	31.7	72.9	3.9	65.4	18.8	11	36.4	37.6	7.1	28.6	11	99.9	39.6	6.7		9


45.5	18.8	14.1	14.5	3.5	97.6	7.9	2.4	88.6	3.1	9	8.2	5.1	3.9	4.3	2.4	95.2	25.5	15.7	3.1		0
5.5	4.7	2.4	7.5	8.2	3.5	3.1	12.6	3.5	8.6	3.9	42.3	94.9	78	23.1	46.2	36.8	16.1	26.2	14.1		1
3.2	1.2	23.5	11.8	3.1	2.4	3.1	3.1	3.1	3.1	33.7	34.1	32.9	9	23.1	33.7	26.3	44.3	4.3	10.6		2
3.1	10.6	87.8	14.1	3.1	2.8	3.1	3.5	5.9	7.5	8.2	82	74.9	97.2	85.8	55.3	57.2	40.8	3.1	6.3		3
2.4	2.8	6.3	3.5	4.7	6.7	14.5	77.2	4.7	6.7	96.8	70.6	100	100	69.4	74.5	10.6	2.8	3.5	11		4
2.8	2.4	3.1	6.7	16.5	99.2	97.2	10.2	98.4	61.1	77.6	96.5	25.5	91.3	100	58	92.9	4.3	4.3	2.8		5
2.8	3.5	6.7	15.3	98.4	100	19.2	100	68.6	13.3	100	85.1	68.6	38.8	24.3	11	5.5	37.6	100	58.4		6
6.7	60.8	63.1	93.4	100	92.9	12.2	100	57.2	16.1	11	8.2	7.5	23.5	34.5	99.9	68.2	43.5	80.7	9.4		7
98	19.2	19.6	35.7	52.5	11.8	8.2	8.6	9	65.1	5.5	55.3	10.2	49	69.8	39.6	50.1	29	28.2	23.9		8
20.8	34.1	30.6	3.9	5.5	69	61.9	98	3.9	54.9	15.3	9	33.7	29.8	9.4	28.2	9.4	99.9	37.2	5.5		9


40.4	22.3	13.3	17.2	3.9	98.4	6.7	3.9	68.6	3.9	6.7	5.1	7.1	4.7	3.1	4.3	99.9	16.5	21.2	2.4		0
7.1	5.9	3.1	10.2	8.6	3.2	3.9	12.5	5.5	3.1	4.7	55.3	94.9	79.9	19.2	49	36.8	11.4	14.1	6.3		1
